,timestamp,value,station_name,station_no,station_latitude,station_longitude
0,2010-02-01,47.8,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
1,2010-02-01,86.8,Glen Strae,133088,56.42522107,-5.000795867
2,2010-02-01,42.2,Glenochil,14891,56.14364525,-3.839304837
3,2010-02-01,0.0,Culloden Battlefield,498341,57.47676464,-4.09126842
4,2010-02-01,53.2,Torwinny,234326,57.52198313,-3.446843553
5,2010-02-01,82.2,Strathkelvin House,300383,55.94300475,-4.172710018
6,2010-02-01,35.0,Glenquey,464636,56.20739317,-3.642080305
7,2010-02-01,86.4,Inveruglas,115588,56.2473573,-4.71287133
8,2010-02-01,6.8,Cullen,234192,57.68712295,-2.83323079
9,2010-02-01,65.2,Daldowie STW,327232,55.83262494,-4.122714806
10,2010-02-01,73.4,Crichton,15224,55.84509063,-2.988655721
11,2010-02-01,48.2,Gordon Arms,14984,55.5113722712304,-3.09640690612754
12,2010-02-01,62.8,Greenock,327292,55.94370132,-4.723991358
13,2010-02-01,132.4,Glen Nevis,115343,56.79923208,-5.067543348
14,2010-02-01,68.4,Culzean Castle,115544,55.35068095,-4.791520726
15,2010-02-01,98.6,Caldercruix STW,115526,55.88933558,-3.904553259
16,2010-02-01,74.2,Creed Bridge,234190,58.20454028,-6.424227928
17,2010-02-01,76.4,Haddington STW,15226,55.9605092339233,-2.75022457021791
18,2010-02-01,52.8,Kirkcaldy,335617,56.11765342,-3.147961765
19,2010-02-01,50.8,Delnashaugh,234198,57.39970792,-3.357845061
20,2010-02-01,52.0,Gargunnock,14892,56.13266077,-4.070571402
21,2010-02-01,36.2,Gella Bridge,14916,56.77535832,-3.027929218
22,2010-02-01,60.0,Tulchan,115247,57.399186873922,-3.44381881984428
23,2010-02-01,88.2,Glenmavis,327238,55.89359141,-4.013210328
24,2010-02-01,74.4,Clachan-Seil,115534,56.30375755,-5.601429727
25,2010-02-01,68.0,Craigdarroch,115541,55.196659,-3.981943267
26,2010-02-01,101.4,Torduff,15190,55.8968016,-3.267160193
27,2010-02-01,68.6,Harelaw,335614,55.91651494,-3.086776845
28,2010-02-01,0.0,Glen Ample,335745,56.354577358483,-4.26999369364804
29,2010-02-01,99.6,Halkirk,234231,58.5154974,-3.493004244
30,2010-02-01,91.2,Stonyford,369551,56.84214794,-2.811870347
31,2010-02-01,0.0,Craigenlee Croft Raingauge,513003,54.8629459170786,-5.07527966446311
32,2010-02-01,37.6,Glenmore Lodge No 2,115225,57.16421784,-3.677609728
33,2010-02-01,0.0,Dalblair,538510,55.44485443,-4.1519297
34,2010-02-01,35.2,Corrimony,115322,57.33501743,-4.699729622
