Timestamp,Rainfall (mm),station_number,station_name,station_no,latitude,longitude
01-Mar-17,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Apr-17,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-May-17,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Jun-17,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Jul-17,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Aug-17,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Sep-17,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Oct-17,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Nov-17,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Dec-17,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Jan-18,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Feb-18,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Mar-18,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Apr-18,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-May-18,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Jun-18,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Jul-18,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Aug-18,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Sep-18,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Oct-18,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Nov-18,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Dec-18,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Jan-19,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Feb-19,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Mar-19,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Apr-19,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-May-19,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Jun-19,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Jul-19,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Aug-19,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Sep-19,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Oct-19,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Nov-19,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Dec-19,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Jan-20,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Feb-20,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Mar-20,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Apr-20,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-May-20,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877
01-Feb-11,0,564863,Tomatin No2,564863,57.33816398,-4.013360208
01-Mar-11,0,564863,Tomatin No2,564863,57.33816398,-4.013360208
01-Apr-11,0,564863,Tomatin No2,564863,57.33816398,-4.013360208
01-May-11,0,564863,Tomatin No2,564863,57.33816398,-4.013360208
01-Jun-11,0,564863,Tomatin No2,564863,57.33816398,-4.013360208
01-Jul-11,0,564863,Tomatin No2,564863,57.33816398,-4.013360208
01-Aug-11,0,564863,Tomatin No2,564863,57.33816398,-4.013360208
01-Sep-11,0,564863,Tomatin No2,564863,57.33816398,-4.013360208
01-Oct-11,0,564863,Tomatin No2,564863,57.33816398,-4.013360208
01-Nov-11,0,564863,Tomatin No2,564863,57.33816398,-4.013360208
01-Dec-11,0,564863,Tomatin No2,564863,57.33816398,-4.013360208
01-Jan-12,0,564863,Tomatin No2,564863,57.33816398,-4.013360208
01-Feb-12,0,564863,Tomatin No2,564863,57.33816398,-4.013360208
01-Mar-12,0,564863,Tomatin No2,564863,57.33816398,-4.013360208
01-Apr-12,0,564863,Tomatin No2,564863,57.33816398,-4.013360208
01-May-12,0,564863,Tomatin No2,564863,57.33816398,-4.013360208
