station_name,station_no,station_latitude,station_longitude
Gordon Arms,14984,55.5113722712304,-3.09640690612754
Greenock,327292,55.94370132,-4.723991358
Haddington STW,15226,55.9605092339233,-2.75022457021791
Halkirk,234231,58.5154974,-3.493004244
Harelaw,335614,55.91651494,-3.086776845
Harperrig,15200,55.83652095,-3.435270947
Hatton (Perth),335640,56.52513594,-2.648539891
Hatton No 2,115227,57.42757524,-1.909678484
Hazelwood Cottage,115582,56.2671528358581,-5.49466255293018
High Corrie (Gartmore),15166,56.1262023,-4.446294544
Hunterston Terminal,469625,55.74447583,-4.86116797
Hydro Gardens Moffat,115584,55.34214596,-3.452988353
Inchvuilt,115354,57.40830735,-4.957620811
Ingleston Farm,115585,54.81170556,-4.166358356
Inshes,336367,57.45203372,-4.184715941
Inverewe Garden,115356,57.77399694,-5.596995718
Inverey,115230,56.98569953,-3.500915775
Invermark,14926,56.91121364,-2.914811966
Inveruglas,115588,56.2473573,-4.71287133
Inverurie,367365,57.2583172,-2.362253256
Irvine Gailes,115589,55.58754361,-4.663320263
Jedburgh,15006,55.4852912237259,-2.54668703951087
Keith,367360,57.55084994,-2.952079018
Killermont Raingauge,341380,55.91108458,-4.305014408
Killilan,234252,57.31881832,-5.424835603
Killin,14933,56.45816211,-4.331876561
Kilphedir,234253,58.1413891058536,-3.70281401936696
Kinbuck,14890,56.2255551,-3.949530685
Kindrogan,14955,56.74926972,-3.544931301
Kinghorn Ecology Centre Rain Gauge,473550,56.07462319,-3.193432968
Kingledores,14972,55.54240926,-3.413947163
Kinkell Bridge,14968,56.33018709,-3.726992915
Kinmount House,115596,55.01095443,-3.351411196
Kirkcaldy,335617,56.11765342,-3.147961765
Kirkcudbright Raingauge,504458,54.84543419,-4.038511682
Kirkwall,515885,58.9862236273856,-2.9493528634113
Kirriemuir STW,361048,56.65983513,-2.999773468
Kirriereoch,115599,55.15077902,-4.571934377
Knockanrock,115363,58.03118174,-5.07294078
Ladyflat Farm,368486,55.7563671174819,-2.36950120236659
Lagafater Lodge,115600,55.04328363,-4.913741812
Lanark STW,115603,55.67436394,-3.795938206
Langwell Lodge,354621,57.9748238,-5.100589967
Lathro,14902,56.2213192,-3.42872292
Laxdale,356217,57.86865846,-6.893581696
Lecht Weather Station,412495,57.19821668,-3.25888009
Letham Grange,338381,56.60403394,-2.609495534
Lingerton,133106,56.01244753,-5.422443562
Little Assynt,234264,58.1743810886208,-5.15230276806827
Loch Ailsh Level,354613,58.04827715,-4.855312073
Loch Droma,115368,57.73309629,-4.936434641
Loch Katrine,14910,56.22701614,-4.436245731
Loch Restil,485489,56.23604254,-4.853369348
Loch Tormasad,354622,57.56195723,-7.316740973
Loch Venachar,14898,56.23425763,-4.256866368
Lochindorb North,336847,57.41478835,-3.691385645
Lochwinnoch,509677,55.7885315233721,-4.61894323306089
Lossiemouth,473167,57.71918475,-3.323337879
Low Creoch,115611,54.90352684,-4.18922643
Luffness,14865,56.02022484,-2.821888561
Luib,115376,57.5445048,-5.123945869
Lukeston,327237,55.98447497,-4.240765022
Luss Raingauge,129558,56.09892116,-4.638863963
Lyne Station,14974,55.6473318263272,-3.25808918040462
Meadowfoot,115616,55.40534471,-3.799886702
Merton Bank Lochmaben,115617,55.13494009,-3.439865821
Mill Croft,354623,57.2886568,-7.368331541
Mill Of Gavel,205209,57.55561687,-2.009109628
Millport,115618,55.74955539,-4.907441406
Milton of Evelix TBR,494729,57.8912874892072,-4.08416450338909
Minnigaff,338429,54.9588823,-4.471659058
Moar,14949,56.57276553,-4.388958153
Mongour,115235,57.00199506,-2.388582046
Montrose,15078,56.69908575,-2.491155025
Monyquil Farm,133115,55.56419458,-5.271931931
Mouthbridge,15022,55.770128146213,-2.27919326297828
Muirkirk STW,115622,55.51335703,-4.096604222
