,station_name,station_latitude,station_longitude,station_no,station_id,itemDate,itemValue,itemValue2,accumRange,ts_id,oldtime,id
51,Charr,56.94084906,-2.619402267,234183,25373,2021-04-01 13:00:00,3.2,3.2,5,130170010,1,250
52,Chesters,55.3786296146422,-2.58960768063178,15004,24691,2021-05-31 14:00:00,0.0,0.0,0,130905010,0,102
53,Cheyne,56.97482596,-2.266470239,335574,26168,2021-05-31 11:00:00,0.0,0.0,0,130179010,0,55
54,Clachan-Seil,56.30375755,-5.601429727,115534,22743,2021-05-31 12:00:00,0.0,0.0,0,130416010,0,112
55,Cleuchhead,56.94774412,-2.388756894,499810,27501,2021-05-31 15:00:00,0.0,0.0,0,130221010,0,65
56,Coignafearn,57.23285188,-4.139289943,115318,22344,2021-05-31 14:00:00,0.0,0.0,0,130773010,0,158
57,Coille Mhorgil,57.0643694,-5.134923813,115319,22351,2021-05-31 13:00:00,0.0,0.0,0,130245010,0,84
58,Colliston,56.61000991,-2.637841019,14921,24301,2021-05-31 14:00:00,0.0,0.0,0,130962010,0,204
59,Comer Farm,56.2015072327063,-4.60131037579935,552791,1296130,2021-03-01 09:00:00,-0.0,0.0,0,144067010,1,273
60,Comiston Rain Gauge,55.9101940076868,-3.21598826974242,525510,1084115,2021-05-31 12:00:00,0.0,0.0,0,134632010,0,191
61,Corrimony,57.33501743,-4.699729622,115322,22368,2021-05-31 12:00:00,0.0,0.0,0,130776010,0,15
62,Corsock,55.05876816,-3.945715778,336434,26552,2021-05-31 14:00:00,0.0,0.0,0,136456010,0,154
63,Craigdarroch,55.196659,-3.981943267,115541,22763,2021-05-31 15:00:00,0.0,0.0,0,130022010,0,208
64,Craigenlee Croft Raingauge,54.8629459170786,-5.07527966446311,513003,931967,2021-05-31 15:00:00,0.0,0.0,0,130125010,0,276
65,Creed Bridge,58.20454028,-6.424227928,234190,25403,2020-12-30 10:00:00,6.0,6.0,10,130317010,1,13
66,Crichton,55.84509063,-2.988655721,15224,25178,2021-05-31 12:00:00,0.0,0.0,0,130686010,0,41
67,Cullen,57.68712295,-2.83323079,234192,25416,2021-05-31 12:00:00,0.0,0.0,0,130806010,0,93
68,Culloden Battlefield,57.47676464,-4.09126842,498341,27480,2021-05-31 12:00:00,0.2,0.2,1,130878010,0,54
69,Culzean Castle,55.35068095,-4.791520726,115544,22774,2021-05-31 12:00:00,0.0,0.0,0,130419010,0,152
70,Dalbeattie STW,54.92152642,-3.821987578,115546,22782,2021-05-31 15:00:00,0.2,0.2,1,130025010,0,29
71,Dalblair,55.44485443,-4.1519297,538510,1226220,2021-05-31 12:00:00,0.0,0.0,0,139895010,0,3
72,Daldowie STW,55.83262494,-4.122714806,327232,26109,2021-05-31 12:00:00,0.0,0.0,0,130512010,0,16
73,Dallachy No 2,57.66404417,-3.071018416,205724,25242,2021-05-31 08:00:00,0.0,0.0,0,130794010,0,142
74,Dalmarnock STW,55.8374507,-4.216965486,327234,26115,2021-05-31 12:00:00,0.0,0.0,0,130515010,0,201
75,Dalnamein,56.79925858,-4.053453634,14960,24500,2021-05-31 13:00:00,0.0,0.0,0,130980010,0,185
76,Dalwhinnie,56.94069555,-4.238639574,302120,26011,2021-05-31 11:00:00,0.0,0.0,0,130833010,0,9
77,Deanston RG,56.19223931,-4.077181451,341338,26744,2021-05-31 04:00:00,0.0,0.0,0,130725010,0,270
78,Delnashaugh,57.39970792,-3.357845061,234198,25434,2021-05-31 15:00:00,0.0,0.0,0,130809010,0,117
79,Derry Lodge,57.02065155,-3.58738853,454765,27238,2021-04-27 11:00:00,6.4,6.4,10,130218010,1,225
80,Deskry Shiel,57.18037959,-2.983867766,335582,26190,2021-05-31 15:00:00,0.0,0.0,0,130185010,0,144
81,Dingwall,57.5999202496956,-4.44699709665912,115329,22388,2021-05-31 10:00:00,0.0,0.0,0,130254010,0,120
82,Dippen,55.58274848,-5.496523588,133077,23495,2021-05-31 09:00:00,0.0,0.0,0,130485010,0,0
83,Dipple,57.61125291,-3.115476523,115217,22183,2021-05-31 12:00:00,0.0,0.0,0,130755010,0,219
84,Dosmucheran,57.59587318,-5.005770119,234202,25445,2021-05-31 15:00:00,0.0,0.0,0,130320010,0,196
85,Drum,56.18484641,-3.532323684,464646,27317,2021-05-31 12:00:00,0.0,0.0,0,130740010,0,45
86,Drumjohn,55.24992466,-4.32205779,115557,22805,2021-05-31 15:00:00,0.0,0.0,0,130028010,0,170
87,Drummore of Cantray,57.48325079,-4.006176025,377134,27150,2021-05-31 12:00:00,0.2,0.2,1,130860010,0,212
88,Dunbar,56.00371307,-2.52752897,15216,25161,2021-05-31 13:00:00,0.0,0.0,0,130683010,0,242
89,Dundreggan Rain Gauge,57.1916154062172,-4.76763419920281,530175,1145666,2021-05-31 11:00:00,0.0,0.0,0,136468010,0,57
90,Dunglass,55.94267446,-2.382881362,15208,25139,2018-01-30 10:00:00,1.4,1.4,5,130677010,1,230
91,Dunnottar Radio Station,56.9465249628923,-2.21202446021694,509196,853353,2021-05-31 15:00:00,0.0,0.0,0,130224010,0,257
92,Dunnswood STW (Cumbernauld),55.97221885,-3.954505606,15180,25064,2021-05-26 16:00:00,7.0,7.0,10,130647010,1,98
