,station_name,station_latitude,station_longitude,station_no,station_id,itemDate,itemValue,itemValue2,accumRange,ts_id,oldtime,id
226,Portmoak,56.19239436,-3.334726298,15149,24993,2021-05-31 12:00:00,0.2,0.2,1,130614010,0,236
227,Prestwick,55.50523784,-4.610940702,344764,26802,2021-05-31 13:00:00,0.0,0.0,0,130536010,0,60
228,Quarry Head,57.63465034,-2.025944065,335575,26173,2021-05-31 15:00:00,0.0,0.0,0,130182010,0,239
229,Quinloch Farm,56.0079586,-4.377500029,115638,23066,2021-05-31 11:00:00,0.0,0.0,0,130458010,0,178
230,Rest and be Thankful,56.22216848,-4.859016846,485490,27378,2021-05-31 15:00:00,0.0,0.0,0,130551010,0,104
231,Rhian Bridge,58.11499626,-4.439159665,115390,22580,2021-05-31 16:00:00,0.0,0.0,0,130302010,0,90
232,Rhiconich,58.42139172,-4.991227379,336217,26406,2021-05-31 15:00:00,0.0,0.0,0,130353010,0,40
233,RhynieGS,57.3317252,-2.828953912,368013,27022,2021-05-31 00:00:00,0.0,0.0,0,130854010,0,213
234,Ross Priory,56.05257642,-4.55746111,133124,23735,2021-05-31 11:00:00,0.0,0.0,0,130497010,0,258
235,Rossie Farm,56.29912602,-3.202717904,15070,24849,2021-05-27 10:00:00,1.6,1.6,5,130998010,1,46
236,Rothienorman,57.40900118,-2.466784574,115239,22251,2021-05-31 15:00:00,0.0,0.0,0,130149010,0,210
237,Saline,56.12224003,-3.585958925,15155,25010,2021-05-31 12:00:00,0.0,0.0,0,130626010,0,274
238,Saughall,55.60098751,-4.226431521,115645,23081,2021-05-31 12:00:00,0.0,0.0,0,130461010,0,23
239,Scardroy No3,57.51892459,-4.985935657,347562,26823,2021-05-31 05:00:00,0.0,0.0,0,130368010,0,267
240,Sgodachail,57.8932766383122,-4.54697639942866,234305,25824,2021-05-31 13:00:00,0.0,0.0,0,130344010,0,218
241,Shiplaw,55.7279691733531,-3.20729143414443,14975,24592,2021-05-31 14:00:00,0.0,0.0,0,130890010,0,145
242,Shotts WWTW,55.81395203,-3.811987501,494255,27462,2021-05-31 11:00:00,0.0,0.0,0,130563010,0,146
243,Slamannan,55.94205217,-3.832217321,464630,27303,2021-05-31 12:00:00,0.0,0.0,0,130731010,0,251
244,Sluggan,57.2739976291366,-3.87599734801261,234314,25858,2021-05-31 11:00:00,0.0,0.0,0,130818010,0,189
245,Solwaybank,55.08629786,-3.086937218,115647,23089,2021-05-31 15:00:00,0.0,0.0,0,130076010,0,108
246,Sorbie,54.79252816,-4.42628864,115648,23094,2021-05-31 09:00:00,0.0,0.0,0,130079010,0,74
247,South Moorhouse,55.73251416,-4.350287842,115649,23098,2021-05-31 11:00:00,0.0,0.0,0,130464010,0,175
248,Spey Dam,57.01121062,-4.336367491,234315,25866,2021-05-31 11:00:00,0.0,0.0,0,130821010,0,63
249,St Monance,56.2047855,-2.78271364,335620,26218,2021-05-31 12:00:00,0.0,0.0,0,130710010,0,171
250,Stonyford,56.84214794,-2.811870347,369551,27100,2020-12-08 04:00:00,11.2,11.2,20,130212010,1,217
251,Strathkelvin House,55.94300475,-4.172710018,300383,25961,2021-05-31 11:00:00,0.0,0.0,0,130500010,0,38
252,Strathkinness,56.33136897,-2.863918962,11368,22132,2021-05-31 09:00:00,0.0,0.0,0,130953010,0,37
253,Strathy Bridge,58.55872143,-4.002604762,234319,25879,2021-05-31 16:00:00,0.0,0.0,0,130347010,0,140
254,Strathyre,56.32054504,-4.328975608,15172,25046,2021-05-30 16:00:00,0.0,0.0,0,130641010,0,197
255,Strowan,56.36918493,-3.92115763,361047,26934,2021-05-31 13:00:00,0.0,0.0,0,131040010,0,67
256,Tarland WWTP,57.1250488281981,-2.8514504640691,511327,972880,2021-05-31 15:00:00,0.0,0.0,0,130227010,0,148
257,Teviothead,55.3422273375472,-2.9364812156604,14999,24674,2021-05-31 12:00:00,0.0,0.0,0,130902010,0,126
258,The Lecht,57.20200168,-3.249607166,115244,22263,2021-05-31 12:00:00,0.0,0.0,0,130764010,0,246
259,Tillicoultry,56.148819,-3.7458095,15158,25015,2021-05-31 08:00:00,0.0,0.0,0,130629010,0,188
260,Tobermory,56.62026156,-6.080645248,115654,23116,2021-02-08 08:00:00,0.0,0.0,0,130467010,1,262
261,Tomatin No2,57.3381639827187,-4.01336020841456,564863,1442205,2021-05-31 12:00:00,0.0,0.0,0,148020010,0,24
262,Torduff,55.8968016,-3.267160193,15190,25090,2021-05-31 12:00:00,0.0,0.0,0,130659010,0,249
263,Torwinny,57.52198313,-3.446843553,234326,25901,2021-05-31 12:00:00,0.0,0.0,0,130824010,0,264
264,Townfoot (Glencaple),54.99473579,-3.568993615,323188,26100,2021-05-31 15:00:00,0.0,0.0,0,130106010,0,61
265,Tromie Bridge,57.0717185,-3.998638147,234327,25908,2021-05-30 22:00:00,0.0,0.0,0,130827010,0,5
266,Tulchan,57.399186873922,-3.44381881984428,115247,22269,2021-05-31 12:00:00,0.0,0.0,0,130767010,0,153
267,Unthank Raingauge,55.2428144328791,-2.96407300182699,506152,854682,2021-05-31 15:00:00,0.0,0.0,0,130122010,0,69
268,Upper Monachlye,56.39271229,-4.463706898,116007,23185,2021-05-31 04:00:00,0.2,0.2,1,130575010,0,70
269,Urquhart,57.59399199,-4.374371661,115406,22631,2021-05-31 15:00:00,0.0,0.0,0,130311010,0,122
270,Wardend Bridge,57.58239454,-3.608335401,234331,25924,2021-05-24 07:00:00,4.8,4.8,5,130830010,1,275
271,Waterside Perth,56.89929851,-2.820760629,369554,27107,2021-05-31 13:00:00,0.0,0.0,0,130215010,0,58
272,Waulkmill Glen,55.79484353,-4.353627607,115660,23137,2021-05-30 20:00:00,0.0,0.0,0,130470010,0,179
273,Weisdale Mill,60.2593269,-1.288604022,116008,23192,2021-04-05 01:00:00,3.6,3.6,5,130158010,1,252
274,Westhill,57.14756943,-2.291989375,115250,22276,2021-05-31 15:00:00,0.0,0.0,0,130155010,0,194
275,Whitburn,55.87157334,-3.682936938,14881,24105,2021-05-31 12:00:00,0.0,0.0,0,130584010,0,195
276,White Clauchrie,55.1412921,-4.677220867,502874,27530,2021-05-06 11:00:00,3.0,3.0,5,130112010,1,115
