,Timestamp,Rainfall (mm),station_number,station_name,station_no,latitude,longitude
60,2015-02-01,23.0,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
61,2015-03-01,49.6,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
62,2015-04-01,23.2,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
63,2015-05-01,74.4,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
64,2015-06-01,27.8,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
65,2015-07-01,127.0,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
66,2015-08-01,43.4,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
67,2015-09-01,45.2,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
68,2015-10-01,62.4,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
69,2015-11-01,119.2,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
70,2015-12-01,140.6,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
71,2016-01-01,176.0,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
72,2016-02-01,76.2,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
73,2016-03-01,40.2,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
74,2016-04-01,109.8,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
75,2016-05-01,11.6,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
76,2016-06-01,67.2,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
77,2016-07-01,70.2,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
78,2016-08-01,54.6,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
79,2016-09-01,40.2,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
80,2016-10-01,76.2,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
81,2016-11-01,142.6,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
82,2016-12-01,32.8,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
83,2017-01-01,30.2,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
84,2017-02-01,96.0,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
85,2017-03-01,57.4,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
86,2017-04-01,17.6,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
87,2017-05-01,28.6,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
88,2017-06-01,182.2,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
89,2017-07-01,74.6,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
90,2017-08-01,43.4,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
